"Commodities/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE","T007","MCIF","MADJ","T013","Trade","Trans","T014","MDTY","TOP","SUB","T015","T016"
"337","Furniture and related products","...","...","...","...","...","...","...",495,117,0,138,6,14,2,43,"...",73750,262,"...",311,"...",0,"...","...","...",221,30,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",75389,48392,"...",123781,88567,14920,103487,755,10267,"...",11022,238290
"339","Miscellaneous manufacturing","...","...","...","...","...","...","...",2,1,"...",241,378,1186,146,115,"...",274,152743,"...",131,"...",108,525,"...",552,712,1598,"...","...","...",2348,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",1,76,"...",1216,"...",162352,96892,"...",259244,203801,14923,218724,1483,15931,"...",17414,495382
"311FT","Food and beverage and tobacco products","...","...","...","...","...","...","...","...","...","...","...",8,"...","...","...","...","...","...",938176,"...","...","...","...","...",8272,"...",3747,"...",9644,2718,54,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",2214,"...",964832,99617,"...",1064449,457085,26563,483648,1295,87113,"...",88408,1636504
"313TT","Textile mills and textile product mills","...","...","...","...","...","...","...",1,535,24,2,84,1,65,94,29,176,78,1,51479,31,161,650,0,28,664,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",54103,32968,"...",87071,71305,4498,75803,2062,6897,"...",8959,171833
"315AL","Apparel and leather and allied products","...","...","...","...","...","...","...","...","...","...",0,"...","...","...","...","...",0,5,5,139,19075,"...",25,"...","...","...","...","...","...","...",296,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",1309,"...",20854,131876,"...",152731,241211,7733,248944,18403,25448,"...",43850,445525
"322","Paper products","...","...","...","...","...","...","...",168,228,3,3,8,5,105,"...","...",17,143,118,25,"...",184115,945,2,177,1620,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",650,"...",188331,25612,"...",213943,45821,12317,58138,264,3761,"...",4026,276107
"323","Printing and related support activities","...","...","...","...","...","...","...","...","...","...",183,"...",10,"...","...","...",10,332,"...",77,"...",316,63132,"...",1,195,"...","...","...","...",31,"...","...","...","...","...","...","...","...",1463,"...","...","...","...","...","...","...","...","...","...","...","...",613,"...",3047,"...","...","...","...","...","...","...","...","...","...","...","...",10,"...",1721,"...",71143,2917,"...",74060,14055,3261,17316,18,1107,"...",1124,92500
"324","Petroleum and coal products","...","...",29052,106,2,"...","...","...",36,2492,7,1,"...",0,"...","...","...",28,"...","...","...","...","...",623615,1635,16,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",656992,71993,"...",728985,152646,29918,182564,160,110797,-1188,109769,1021318
"325","Chemical products","...","...",249,2646,"...","...","...",20,132,263,175,160,308,245,11,9,16,328,3456,3277,"...",169,"...",23394,757210,857,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",8,"...",108,"...",793042,233139,"...",1026181,454604,35654,490259,2491,29259,-14,31737,1548176
"326","Plastics and rubber products","...","...","...","...","...","...","...",239,168,0,1455,254,347,23,294,33,150,869,2,73,"...",732,462,1,3261,222213,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",230577,57289,"...",287866,97508,6167,103676,1997,9407,"...",11404,402945
"42","Wholesale trade","...","...",528,238,474,"...","...",1081,1364,964,4811,8946,3764,1967,3024,1701,1539,5520,6641,794,571,1515,790,4717,10085,2876,1698862,"...","...","...","...",20,"...","...","...",13,"...",87,"...",11971,11,4653,594,"...","...","...","...","...","...",383,"...",3672,"...","...","...","...","...","...","...","...","...","...","...","...","...",586,"...","...","...","...","...",1784762,"...","...",1784762,-1679852,"...",-1679852,"...",0,"...",0,104910
"441","Motor vehicle and parts dealers","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",183185,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",60,"...","...","...","...","...","...","...","...","...","...","...","...",340,14,"...",2116,"...","...","...","...","...",185715,"...","...",185715,-185715,"...",-185715,"...",0,"...",0,0
"445","Food and beverage stores","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",198747,"...","...","...","...","...","...","...","...",8,"...","...","...","...","...","...","...","...","...","...","...",265,"...","...","...","...","...","...","...","...","...","...","...","...","...",374,814,"...","...","...","...","...",5409,205617,"...","...",205617,-205617,"...",-205617,"...",0,"...",0,0
"452","General merchandise stores","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",181165,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",478,"...","...","...","...","...","...","...",54,"...","...",423,"...",158,"...","...",3211,"...","...",185489,"...","...",185489,-185489,"...",-185489,"...",0,"...",0,0
"4A0","Other retail","...","...","...","...","...",16,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",878224,"...","...","...","...",11,"...",0,"...",117,607,747,805,"...","...","...","...","...","...",928,"...",315,4988,"...",773,128,1364,10144,1083,17,141,1408,2155,747,1742,3995,"...","...",36,"...","...",910493,"...","...",910493,-902520,"...",-902520,"...",0,"...",0,7972
"481","Air transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",211031,"...","...","...","...","...",253,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",211284,41005,-1115,251174,"...",-2736,-2736,"...",23293,-226,23066,271505
"482","Rail transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",86515,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",170,86686,0,-430,86256,"...",-74918,-74918,"...",783,-2597,-1814,9524
"483","Water transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",50289,"...","...","...",1748,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",359,52397,0,-8661,43736,"...",-11217,-11217,"...",211,-23,188,32706
"484","Truck transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",32,"...","...","...","...","...","...",355401,"...","...",1825,1880,"...","...","...","...","...","...","...","...","...","...",897,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",360036,0,-5094,354942,"...",-316780,-316780,"...",400,"...",400,38561
"485","Transit and ground passenger transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",77230,"...",440,"...","...","...","...","...","...","...","...","...","...","...",40,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",17622,95332,"...","...",95332,"...","...","...","...",1053,-69,984,96316
"486","Pipeline transportation","...","...","...","...","...",2920,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",926,"...","...","...","...","...","...","...","...","...",51977,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",55823,"...","...",55823,"...",-55178,-55178,"...",79,"...",79,724
"487OS","Other transportation and support activities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",1154,471,"...","...",3454,592,"...",2489,3973,81,"...",242347,411,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",17,"...","...","...","...","...","...","...","...","...","...","...","...","...","...",13661,268649,44,-3769,264924,"...","...","...","...",354,"...",354,265278
"493","Warehousing and storage","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",16,340,"...","...",48,"...","...","...",4658,"...","...",1586,137449,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",144096,"...","...",144096,"...","...","...","...",169,"...",169,144266
"511","Publishing industries, except internet (includes software)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",257730,"...","...",14756,"...","...","...","...","...","...","...","...",2646,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",222,"...",553,"...",275907,4593,"...",280501,97249,4172,101422,"...",8464,"...",8464,390386
"512","Motion picture and sound recording industries","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",996,"...","...","...","...","...","...","...","...","...",157311,867,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",42,"...",18,1,"...",159236,9665,"...",168900,11018,134,11152,0,4282,"...",4282,184335
"513","Broadcasting and telecommunications","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",63,"...","...","...","...","...","...","...","...","...","...",701536,267,"...","...","...","...","...","...","...","...",196,"...","...","...","...","...","...","...","...","...","...","...",256,"...","...","...","...","...","...","...",702318,253,"...",702571,"...","...","...","...",31190,-5,31185,733756
"514","Data processing, internet publishing, and other information services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",12276,"...","...",253084,"...","...","...","...","...","...","...","...",15107,3105,"...","...","...","...","...","...","...","...","...","...","...","...",444,14,"...","...",2356,"...",286386,1324,"...",287710,"...","...","...","...",784,"...",784,288495
"521CI","Federal Reserve banks, credit intermediation, and related activities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",5090,433,"...",260,"...","...","...","...","...","...","...","...","...","...","...","...",856482,28659,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",25,890949,72,"...",891021,"...","...","...","...",0,-477,-477,890544
"523","Securities, commodity contracts, and investments","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",35834,631134,934,"...","...","...",9,"...","...",692,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",668603,91,"...",668694,"...","...","...","...",1347,"...",1347,670041
"524","Insurance carriers and related activities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",98,"...","...","...","...","...","...",8736,1155655,"...","...",148,997,"...","...","...","...",69,"...",105,"...","...","...","...","...","...","...","...","...","...","...",7731,"...",-376,1173162,42684,-752,1215094,"...","...","...","...",41074,-6272,34802,1249896
"525","Funds, trusts, and other financial vehicles","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",166208,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",99,"...",29763,"...",196070,"...","...",196070,"...","...","...","...",173,"...",173,196243
"HS","Housing","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",2232196,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",29300,2261496,"...","...",2261496,"...","...","...","...",0,-39497,-39497,2221999
"ORE","Other real estate","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",9,"...","...","...","...",135,"...","...","...","...","...","...","...",1366896,2884,"...","...","...","...",309,"...",76,"...","...",116,"...",947,169,1207,"...",1484,"...","...",806,"...",26884,1401922,"...","...",1401922,"...","...","...","...",1316,-1690,-374,1401548
"532RL","Rental and leasing services and lessors of intangible assets","...","...","...","...","...","...","...","...","...","...","...",22,"...","...","...","...","...","...","...","...","...","...","...","...","...","...",13473,855,363,251,3836,102,246,"...",346,"...","...",85,8,1,165,10359,334,87622,"...","...","...","...","...",319259,"...",354,12,"...",52,473,91,3226,1405,"...","...",1380,347,1296,"...",266,"...","...","...","...","...",446228,"...","...",446228,"...","...","...","...",16942,"...",16942,463170
"5411","Legal services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",459,"...","...","...","...",347053,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",347512,3857,"...",351369,"...","...","...","...",17011,"...",17011,368380
"5415","Computer systems design and related services","...",0,138,0,47,478,387,17,40,95,360,925,1373,318,330,748,53,586,133,11,14,53,177,34,564,190,17463,6,4,5,1568,211,138,11,99,0,36,343,183,13547,268,2005,23561,3446,1260,2603,0,84,257,178,354,423260,12123,13324,9838,26,4718,1276,2509,23,82,77,55,34,0,746,2405,2601,643,5771,"...",554214,32368,"...",586582,"...","...","...","...",4220,"...",4220,590802
"5412OP","Miscellaneous professional, scientific, and technical services","...","...",1681,131,674,172,457,104,795,556,3276,8695,56088,2511,15634,22279,287,13499,3310,318,247,1039,16019,184,49690,2747,1004,195,103,523,5594,1848,72,12,124,21,39,406,136,59834,3319,116635,131490,1991,932,2818,139,21,200,78,182,12805,1505323,5003,13617,88,28386,225,5473,20,13,9145,180,2,0,1407,23384,15554,"...",54871,"...",2203610,98757,"...",2302367,"...","...","...",0,5250,"...",5250,2307617
"55","Management of companies and enterprises","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",615747,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",615747,"...","...",615747,"...","...","...","...",1543,"...",1543,617290
"561","Administrative and support services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",117,"...","...","...",27,"...",213,200,1788,"...","...","...","...","...","...",110,"...",803,"...","...",697,"...","...","...","...","...","...","...","...",4854,2906,"...",955588,"...","...","...","...","...","...","...","...",0,"...","...","...","...","...",9301,"...",976606,1552,"...",978158,"...","...","...","...",6464,"...",6464,984623
"562","Waste management and remediation services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",2131,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",179,102756,"...","...","...","...","...","...","...","...","...","...","...","...","...",14653,"...",119720,185,"...",119905,"...","...","...","...",1933,"...",1933,121839
"61","Educational services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",52,"...","...",199,"...","...","...","...","...","...","...","...",7733,"...","...",1055,"...","...","...","...","...","...",3,"...",1998,"...","...",180,"...",293464,"...","...","...","...",20,1306,"...","...",31,235,"...","...",100641,"...",406917,1420,"...",408337,"...","...","...","...",284,"...",284,408620
"621","Ambulatory health care services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",1450,532,67,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",15,"...","...",1082865,7957,1111,320,"...","...","...","...","...","...","...","...",36846,"...",1131163,"...","...",1131163,"...","...","...","...",525,"...",525,1131687
"622","Hospitals","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",918325,"...","...","...","...","...","...","...",1493,1652,"...",223980,"...",1145451,3510,"...",1148960,"...","...","...","...",2224,-9,2214,1151175
"623","Nursing and residential care facilities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",254197,2553,"...","...","...","...","...","...","...","...","...","...",256750,"...","...",256750,"...","...","...","...",3028,"...",3028,259779
"624","Social assistance","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",57,"...","...","...","...",133,217469,"...",866,"...","...",366,"...","...","...",3583,"...",222473,"...","...",222473,"...","...","...","...",811,"...",811,223284
"711AS","Performing arts, spectator sports, museums, and related activities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",1637,"...","...","...","...",174717,238,1565,"...","...",21,"...","...",3325,190,181693,1402,"...",183095,"...","...","...","...",6006,"...",6006,189101
"713","Amusements, gambling, and recreation industries",2914,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",233,64,"...",285,"...","...",255,"...","...","...","...","...","...",71,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",3101,129021,30860,1265,"...","...","...","...",2848,34218,205135,"...","...",205135,"...","...","...","...",9172,"...",9172,214307
